,distance_to,source,station_name,review_count,business_id,rating,name,price,poi_longitude,category,poi_latitude,address,station_longitude,station_latitude,num_bikes
946,353.2724238792589,Yelp,Broad & Passyunk ,126.0,vq73W-SHrwBgXzQ__0yV2w,4.1,Second District Brewing,$$,,"Breweries, Beer Bar, American",,"1939 S Bancroft St, Philadelphia, PA 19145",-75.16904,39.92552,12
945,346.9155770892082,Yelp,"Berks Station, MFL",317.0,BPBTCvmUfRnEH6yyABzOzA,4.1,Evil Genius Beer,$$,,"Breweries, Beer Gardens",,"1727 N Front St, Philadelphia, PA 19122",-75.13339,39.97888,10
944,307.4904712120766,Yelp,17th & Green,525.0,Mwc3n5Psw9wRaQ22vZWDYQ,4.4,Bar Hygge,$$,,"Comfort Food, Breakfast & Brunch, Brewpubs",,"1720 Fairmount Ave, Philadelphia, PA 19130",-75.16582,39.96437,4
943,182.7204011819965,Yelp,17th & Locust,2432.0,OdIBX09glfXNVSyd0RnIeg,4.0,Monk's Cafe,$$,,"Pubs, Belgian",,"264 S 16th St, Philadelphia, PA 19102",-75.16978,39.94888,17
942,169.63356685868322,Yelp,Broad & Chestnut,1165.0,cOXc8c85Ms6dMEAJazLXHQ,3.8,McGillin's Olde Ale House,$$,,"Irish Pub, Venues & Event Spaces",,"1310 Drury St, Philadelphia, PA 19107",-75.16438,39.95095,5
941,146.95169553388226,Yelp,"Welcome Park, NPS",942.0,OHzX-ZD9qyoeoxR8Z0dlIA,4.2,Khyber Pass Pub,$$,,"Gastropubs, Pubs, American",,"56 S 2nd St, Philadelphia, PA 19106",-75.14403,39.94733,12
940,91.30729257760034,Yelp,21st & Washington,134.0,Cmfs_i-FtaR6O1C07OEcOg,3.7,Dock Street Brewery South,$$,,"Venues & Event Spaces, Brewpubs",,"2118 Washington Ave, Philadelphia, PA 19146",-75.17824,39.93906,14
939,83.60145823938386,Yelp,5th & Spring Garden,1048.0,IvAa7PvfOYl0xRML5W3ebg,4.4,Yards Brewing Company,$$,,"Breweries, Venues & Event Spaces, New American",,"500 Spring Garden St, Philadelphia, PA 19123",-75.14667,39.9617,7
938,77.99388938843697,Yelp,Girard & Palmer,590.0,LO5yBY9uoowtq7FsaKPJXA,4.1,Kraftwork,$$,,"Gastropubs, New American, Breakfast & Brunch",,"541 E Girard Ave, Philadelphia, PA 19125",-75.12813,39.97116,11
937,69.04129708265654,Yelp,Main & Shurs,811.0,ZGH8MzJa7Q7iIpmtzBAJAQ,3.4,Manayunk Brewery,$$,,"New American, Breweries, American",,"4120 Main St, Philadelphia, PA 19127",-75.218,40.02237,9
626,284.0,Foursquare,6th & Chestnut,,,,Talula's Garden,,-75.15347877070249,New American Restaurant,39.94714094280398,"210 W Washington Sq (btwn Walnut St & Locust St), Philadelphia, PA 19106",-75.15097,39.94883,6
631,188.0,Foursquare,13th & Montgomery,,,,Chipotle Mexican Grill,,-75.15316936775942,Mexican Restaurant,39.97941177238066,"1100 W Montgomery Ave (at N 11th St), Philadelphia, PA 19122",-75.15522,39.98005,0
630,71.0,Foursquare,13th & Montgomery,,,,Saladworks,,-75.1550024,Salad Restaurant,39.9794272,"1755 N 13th St, Philadelphia, PA 19122",-75.15522,39.98005,0
629,96.0,Foursquare,13th & Montgomery,,,,Chick-fil-A,,-75.15499234199524,Fast Food Restaurant,39.97920011096698,"1755 N 13th St, Philadelphia, PA 19122",-75.15522,39.98005,0
628,574.0,Foursquare,6th & Chestnut,,,,Zahav,,-75.14506448469714,Israeli Restaurant,39.94633695892293,"237 Saint James Pl (at Dock St), Philadelphia, PA 19106",-75.15097,39.94883,6
627,518.0,Foursquare,6th & Chestnut,,,,Sweetgreen,,-75.15701806486913,Salad Restaurant,39.94832076167723,"924 Walnut St (at 10th St), Philadelphia, PA 19107",-75.15097,39.94883,6
621,113.0,Foursquare,23rd & Chestnut,,,,Erawan Thai Cuisine,,-75.17835023927651,Thai Restaurant,39.95175967423992,"123 S 23rd St (btw Sansom & Walnut), Philadelphia, PA 19103",-75.17779,39.95269,1
625,96.0,Foursquare,Water & Mifflin,,,,Starbucks,,-75.14591009783089,Coffee Shop,39.9239102581068,"1 Mifflin St, Philadelphia, PA 19148",-75.14701,39.9237,9
624,269.0,Foursquare,23rd & Chestnut,,,,JJ Thai Cuisine,,-75.17473535565695,Thai Restaurant,39.95207282040172,"2028 Chestnut St, Philadelphia, PA 19103",-75.17779,39.95269,1
623,277.0,Foursquare,23rd & Chestnut,,,,Vic Sushi Bar,,-75.17494806114004,Sushi Restaurant,39.95147676145491,"2035 Sansom St, Philadelphia, PA 19103",-75.17779,39.95269,1
622,186.0,Foursquare,23rd & Chestnut,,,,Rosy's Taco Bar,,-75.17851029130975,Taco Restaurant,39.95110946130918,"2220 Walnut St, Philadelphia, PA 19103",-75.17779,39.95269,1
633,80.0,Foursquare,13th & Montgomery,,,,Jazzman's Cafe,,-75.15607,Café,39.98037,"1810 N 13th St (at Alter Hall), Philadelphia, PA 19122",-75.15522,39.98005,0
632,66.0,Foursquare,13th & Montgomery,,,,Saxby’s Coffee at Alter Hall,,-75.15599822998047,Coffee Shop,39.98012924194336,"1801 Liacouras Walk, Philadelphia, PA 19122",-75.15522,39.98005,0
638,270.0,Foursquare,32nd & Allegheny,,,,The Piccadilly,,-75.17840887867807,Bar,40.00462269713497,"Philadelphia, PA 19131",-75.18143,40.00537,3
634,413.0,Foursquare,8th & Brown,,,,Pura Vida,,-75.1476483742907,Latin American Restaurant,39.9636270884807,"527 Fairmount Ave, Philadelphia, PA 19123",-75.15097,39.96634,0
635,492.0,Foursquare,8th & Brown,,,,Tiffin,,-75.14873063681557,Indian Restaurant,39.97042401472154,"710 W Girard Ave (Btwn N 7th & N Marshall St), Philadelphia, PA 19123",-75.15097,39.96634,0
636,606.0,Foursquare,8th & Brown,,,,Cafe La Maude,,-75.14441952790673,Café,39.96421025040534,"816 N 4th St (at Reno St), Philadelphia, PA 19123",-75.15097,39.96634,0
637,53.0,Foursquare,32nd & Allegheny,,,,32nd Street Pub,,-75.18192514790286,Bar,40.00507847042185,"3200 W Allegheny Ave, Philadelphia, PA 19132",-75.18143,40.00537,3
619,139.0,Foursquare,Broad & Oxford,,,,Tropical Smoothie Cafe,,-75.15840999874148,Juice Bar,39.97793106291447,"1600 N Broad St, Philadelphia, PA 19121",-75.15813,39.97669,5
639,232.0,Foursquare,21st & Washington,,,,Los Camaradas,,-75.17973144125848,Mexican Restaurant,39.94081601901921,"918 S 22nd St (at Carpenter St), Philadelphia, PA 19146",-75.17824,39.93906,14
640,212.0,Foursquare,21st & Washington,,,,OCF Coffee House 2,,-75.17689290886075,Coffee Shop,39.93744816669761,"2001 Federal St, Philadelphia, PA 19146",-75.17824,39.93906,14
641,312.0,Foursquare,21st & Washington,,,,The Sidecar Bar & Grille,,-75.17939674133275,Bar,39.94172583254961,"2201 Christian St (at 22nd St), Philadelphia, PA 19146",-75.17824,39.93906,14
642,391.0,Foursquare,21st & Washington,,,,Ultimo Coffee,,-75.17905780552434,Coffee Shop,39.94252536801373,"2149 Catharine St (22nd St), Philadelphia, PA 19146",-75.17824,39.93906,14
643,357.0,Foursquare,21st & Washington,,,,Madira Bar and Grill,,-75.17915905287052,Indian Restaurant,39.93591904208965,"1252 S 21st St, Philadelphia, PA 19146",-75.17824,39.93906,14
644,49.0,Foursquare,22nd & Cecil B. Moore,,,,Bella's Breakfast & Lunch,,-75.1707361085872,Southern Food Restaurant,39.97960652484411,"2159 Ridge St., Philadelphia, PA 19121",-75.17088,39.98004,0
645,216.0,Foursquare,22nd & Cecil B. Moore,,,,Mom's Kitchen Table,,-75.17298482367211,Restaurant,39.98112646945824,"2319 Ridge Ave, Philadelphia, PA 19121",-75.17088,39.98004,0
646,264.0,Foursquare,4th & Oregon,,,,Pho Ha Saigon,,-75.1538087121806,Vietnamese Restaurant,39.91324294009004,"575 Adams Ave Ste 1, Philadelphia, PA 19120",-75.15474,39.91551,8
620,151.0,Foursquare,Broad & Oxford,,,,Pita Chip,,-75.1584168065293,Mediterranean Restaurant,39.9780377862915,"1600 N Broad St Ste 7, Philadelphia, PA 19121",-75.15813,39.97669,5
614,81.0,Foursquare,Barnes Foundation,,,,Garden Restaurant at The Barnes Foundation,,-75.172539,Restaurant,39.960654,"2025 Benjamin Franklin Pkwy, Philadelphia, PA 19130",-75.17198,39.96006,2
618,97.0,Foursquare,Broad & Oxford,,,,Honeygrow,,-75.15751755550048,Salad Restaurant,39.97742972464794,"1601 N Broad St (Cecil B Moore Ave), Philadelphia, PA 19122",-75.15813,39.97669,5
617,435.0,Foursquare,2nd & Norris,,,,Buzz Cafe,,-75.13501932584151,Café,39.97747107481669,"1800 N Howard St, Philadelphia, PA 19122",-75.13721,39.98101,2
593,560.0,Foursquare,"4th & Walnut, NPS",,,,Spasso Italian Grill,,-75.14251769263223,Italian Restaurant,39.94870039431784,"34 S Front St (at Chestnut St), Philadelphia, PA 19106",-75.14886,39.94735,7
594,577.0,Foursquare,"4th & Walnut, NPS",,,,Bodhi Coffee,,-75.14545797458909,Café,39.94285617341323,"410 S 2nd St (Pine St), Philadelphia, PA 19147",-75.14886,39.94735,7
595,62.0,Foursquare,"Welcome Park, NPS",,,,The Olde Bar,,-75.14383,Cocktail Bar,39.946785,"125 Walnut St (at 2nd St), Philadelphia, PA 19106",-75.14403,39.94733,12
596,97.0,Foursquare,"Welcome Park, NPS",,,,Positano Coast by Aldo Lamberti,,-75.14494694530335,Italian Restaurant,39.946803446288506,"212 Walnut St Fl 2 (2nd St), Philadelphia, PA 19106",-75.14403,39.94733,12
597,105.0,Foursquare,"Welcome Park, NPS",,,,Glory Beer Bar & Kitchen,,-75.1435843403267,Beer Bar,39.94821853469077,"126 Chestnut St, Philadelphia, PA 19106",-75.14403,39.94733,12
599,126.0,Foursquare,"Welcome Park, NPS",,,,Han Dynasty,,-75.14381888707953,Chinese Restaurant,39.94845633567079,"123 Chestnut St, Philadelphia, PA 19106",-75.14403,39.94733,12
600,140.0,Foursquare,"Welcome Park, NPS",,,,European Republic,,-75.14471550531007,Modern European Restaurant,39.94848100323117,"213 Chestnut St, Philadelphia, PA 19106",-75.14403,39.94733,12
601,149.0,Foursquare,"Welcome Park, NPS",,,,Royal Boucherie,,-75.14408512484212,French Restaurant,39.94867826918429,"52 S 2nd St, Philadelphia, PA 19106",-75.14403,39.94733,12
