,distance_to,source,station_name,review_count,rating,name,price,poi_longitude,category,poi_latitude,address,Unnamed: 0,station_longitude,station_latitude,num_bikes
1373,1353.7264417623169,Yelp,23rd & Market,1165.0,3.8,McGillin's Olde Ale House,$$,,"Irish Pub, Venues & Event Spaces",,"1310 Drury St, Philadelphia, PA 19107",275,-75.17761,39.95425,5
1086,875.7527550558137,Yelp,Pencoyd Bridge,811.0,3.4,Manayunk Brewery,$$,,"New American, Breweries, American",,"4120 Main St, Philadelphia, PA 19127",105,-75.21241,40.0163,2
1075,472.5486581107388,Yelp,9th & Spring Garden,1048.0,4.4,Yards Brewing Company,$$,,"Breweries, Venues & Event Spaces, New American",,"500 Spring Garden St, Philadelphia, PA 19123",98,-75.15242,39.96143,2
1076,1328.583624842073,Yelp,9th & Spring Garden,525.0,4.4,Bar Hygge,$$,,"Comfort Food, Breakfast & Brunch, Brewpubs",,"1720 Fairmount Ave, Philadelphia, PA 19130",98,-75.15242,39.96143,2
1077,1515.7096859695498,Yelp,9th & Spring Garden,1165.0,3.8,McGillin's Olde Ale House,$$,,"Irish Pub, Venues & Event Spaces",,"1310 Drury St, Philadelphia, PA 19107",98,-75.15242,39.96143,2
1078,1584.124347745701,Yelp,9th & Spring Garden,942.0,4.2,Khyber Pass Pub,$$,,"Gastropubs, Pubs, American",,"56 S 2nd St, Philadelphia, PA 19106",98,-75.15242,39.96143,2
1079,1017.5830814502456,Yelp,6th & Girard,1048.0,4.4,Yards Brewing Company,$$,,"Breweries, Venues & Event Spaces, New American",,"500 Spring Garden St, Philadelphia, PA 19123",99,-75.14666,39.97012,5
1080,1254.0101228009607,Yelp,6th & Girard,317.0,4.1,Evil Genius Beer,$$,,"Breweries, Beer Gardens",,"1727 N Front St, Philadelphia, PA 19122",99,-75.14666,39.97012,5
1081,711.3960873237577,Yelp,12th & Passyunk,126.0,4.1,Second District Brewing,$$,,"Breweries, Beer Bar, American",,"1939 S Bancroft St, Philadelphia, PA 19145",101,-75.16515,39.92814,14
1082,1721.3902873127129,Yelp,12th & Passyunk,134.0,3.7,Dock Street Brewery South,$$,,"Venues & Event Spaces, Brewpubs",,"2118 Washington Ave, Philadelphia, PA 19146",101,-75.16515,39.92814,14
1083,624.6816610736189,Yelp,18th & Christian,134.0,3.7,Dock Street Brewery South,$$,,"Venues & Event Spaces, Brewpubs",,"2118 Washington Ave, Philadelphia, PA 19146",103,-75.17227,39.94077,4
1084,842.1784532341493,Yelp,18th & Christian,2432.0,4.0,Monk's Cafe,$$,,"Pubs, Belgian",,"264 S 16th St, Philadelphia, PA 19102",103,-75.17227,39.94077,4
